Unnamed: 0,delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
66,0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.04390397978521794
67,0.7275390625,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.07169930511686672
68,0.2529296875,0.6162109375,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.06317119393556538
69,0.2529296875,0.5009765625,0.9326171875,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.008843967150979154
70,0.2529296875,0.5009765625,0.2041015625,12.16796875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.0018951358180669614
71,0.2529296875,0.5009765625,0.2041015625,4.82421875,0.17578125,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.04295641187618446
72,0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,1.50390625,36.42578125,65.91796875,12.79296875,66.50390625,0.034112444725205304
73,0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,62.40234375,65.91796875,12.79296875,66.50390625,0.07991156032849021
74,0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,38.18359375,12.79296875,66.50390625,0.026847757422615286
75,0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,19.62890625,66.50390625,0.06127605811749842
76,0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,68.84765625,0.019898926089703096
77,0.2529296875,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.07075173720783323
78,0.7275390625,0.5009765625,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.1209728363866077
79,0.7275390625,0.6162109375,0.2041015625,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.04200884396715098
80,0.7275390625,0.6162109375,0.9326171875,4.82421875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.03506001263423879
81,0.7275390625,0.6162109375,0.9326171875,12.16796875,4.16015625,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.02147820593809223
82,0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,16.30859375,62.40234375,38.18359375,19.62890625,68.84765625,0.04516740366392925
83,0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,36.42578125,38.18359375,19.62890625,68.84765625,0.0915982312065698
84,0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,65.91796875,19.62890625,68.84765625,0.007264687302590019
85,0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,12.79296875,68.84765625,0.02053063802905875
86,0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,66.50390625,0.05180037902716361
87,0.7275390625,0.6162109375,0.9326171875,12.16796875,0.17578125,1.50390625,62.40234375,38.18359375,19.62890625,68.84765625,0.035375868603916616
88,0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.04485154769425142
89,0.1025390625,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.050852811118130135
90,0.3779296875,0.7412109375,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.052747946936197096
91,0.3779296875,0.1259765625,0.3076171875,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.022741629816803537
92,0.3779296875,0.1259765625,0.3291015625,19.66796875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.0
93,0.3779296875,0.1259765625,0.3291015625,2.32421875,2.67578125,13.80859375,98.92578125,3.41796875,50.29296875,29.00390625,0.05180037902716361
94,0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,4.00390625,98.92578125,3.41796875,50.29296875,29.00390625,0.03442830069488313
95,0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,74.90234375,3.41796875,50.29296875,29.00390625,0.1244472520530638
96,0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,25.68359375,50.29296875,29.00390625,0.06696146557169931
97,0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,57.12890625,29.00390625,0.06506632975363234
98,0.3779296875,0.1259765625,0.3291015625,2.32421875,1.66015625,13.80859375,98.92578125,3.41796875,50.29296875,31.34765625,0.09065066329753632
99,0.3779296875,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.032849020846494
100,0.1025390625,0.1259765625,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.03506001263423879
101,0.1025390625,0.7412109375,0.3291015625,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.03126974099810487
