delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,40.91796875,94.62890625,93.84765625,0.02368171771392485
0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,87.79296875,93.84765625,0.04452162930217872
0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,41.50390625,0.02083991158825387
0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.0006315124723713293
0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.012630249447426587
0.2275390625,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.017366592990211555
0.7529296875,0.1162109375,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.05462582886011999
0.7529296875,0.0009765625,0.4326171875,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.004104831070413641
0.7529296875,0.0009765625,0.7041015625,2.16796875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.027470792548152826
0.7529296875,0.0009765625,0.7041015625,14.82421875,10.17578125,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.05367856015156299
0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,11.50390625,86.42578125,15.91796875,62.79296875,16.50390625,0.02904957372908115
0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,12.40234375,15.91796875,62.79296875,16.50390625,0.009788443321755604
0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,88.18359375,62.79296875,16.50390625,0.022102936532996525
0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,69.62890625,16.50390625,0.07167666561414587
