delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0.5029296875,0.3662109375,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.4494630448515477
0.5029296875,0.7509765625,0.6826171875,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.5887555274794694
0.5029296875,0.7509765625,0.4541015625,17.16796875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.23878711307643716
0.5029296875,0.7509765625,0.4541015625,9.82421875,15.17578125,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.4826279216677195
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,6.50390625,11.42578125,40.91796875,87.79296875,41.50390625,0.5874921036007581
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,37.40234375,40.91796875,87.79296875,41.50390625,0.1244472520530638
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,13.18359375,87.79296875,41.50390625,0.5445356917245736
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,94.62890625,41.50390625,0.5991787744788376
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,93.84765625,0.6465571699305117
0.5029296875,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.35944409349336703
0.4775390625,0.7509765625,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.5830701200252685
0.4775390625,0.3662109375,0.4541015625,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.3806064434617814
0.4775390625,0.3662109375,0.6826171875,9.82421875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.23752368919772585
0.4775390625,0.3662109375,0.6826171875,17.16796875,19.16015625,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.09317751105495894
